"Col1","Col2","Col3"
"Abdnor  James",1,14000
"Abzug  Bella S.",3,13001
"Adams  Brock",5,10700
"Addabbo  Joseph P.",6,10500
"Albert  Carl",8,62
"Alexander  Bill",10,12000
"Anderson  Glenn M.",16,12001
"Anderson  John B.",17,10501
"Andrews  Ike",18,14001
"Andrews  Mark",19,10569
"Annunzio  Frank",23,10703
"Archer  Bill",26,13002
"Arends  Leslie C.",27,226
"Armstrong  William L.",29,14002
"Ashbrook  John M.",31,10502
"Ashley  Thomas L.",32,267
"Aspin  Les",33,13003
"Badillo  Herman",40,13004
"Bafalis  L. A. (Skip)",42,14003
"Baker  LaMar",46,13005
"Barrett  William A.",59,465
"Bauman  Robert E.",67,14069
"Beard  Robin",69,14004
"Bell  Alphonzo",73,10505
"Benitez  Jamie",75,NA
"Bennett  Charles E.",77,633
"Bergland  Bob",81,13007
"Bevill  Tom",84,11000
"Biaggi  Mario",85,12003
"Biester  Edward G.  Jr.",86,11001
"Bingham  Jonathan B.",90,10705
"Blackburn  Ben",92,11002
"Blatnik  John Anton",95,789
"Boggs  Corinne C. (Lindy)",103,14067
"Boland  Edward P.",104,830
"Bolling  Richard",105,835
"Bowen  David R.",115,14005
"Brademas  John",117,948
"Brasco  Frank",118,11004
"Bray  William G.",119,986
"Breaux  John B.",120,13056
"Breckinridge  John B.",121,14006
"Brinkley  Jack",124,11005
"Brooks  Jack B.",127,1077
"Broomfield  William S.",128,1087
"Brotzman  Donald G.",129,10572
"Brown  Clarence  Jr.",131,10786
"Brown  Gary E.",133,11006
"Brown  George E.  Jr.",134,10573
"Broyhill  James T.",138,10574
"Broyhill  Joel T.",139,1154
"Buchanan  John",143,10706
"Burgener  Clair W.",147,14007
"Burke  J. Herbert",148,11007
"Burke  James A.",149,1265
"Burke  Yvonne B.",150,14008
"Burleson  Omar",151,1282
"Burlison  Bill D.",152,12004
"Burton  John",155,10577
"Burton  Phillip",156,14076
"Butler  M. Caldwell",159,13055
"Byron  Goodloe E.",163,13008
"Camp  John N. Happy",167,12006
"Carey  Hugh L.",175,10508
"Carney  Charles J.",177,12044
"Carter  Tim Lee",181,10710
"Casey  Bob",182,1577
"Cederberg  Elford A.",185,1610
"Chamberlain  Charles E.",187,1620
"Chappell  Bill  Jr.",191,12007
"Chisholm  Shirley",195,12008
"Clancy  Donald D.",198,10510
"Clark  Frank M.",199,1763
"Clausen  Don H.",201,10579
"Clawson  Del",202,10580
"Clay  William (Bill)",203,12009
"Cleveland  James C.",206,10581
"Cochran  Thad",213,14009
"Cohen  William S.",215,14010
"Collier  Harold R.",218,1941
"Collins  Cardiss",220,14068
"Collins  James M.",221,11066
"Conable  Barber B.  Jr.",225,10712
"Conlan  John B.",227,14011
"Conte  Silvio O.",228,2009
"Conyers  John  Jr.",229,10713
"Corman  James C.",234,10511
"Cotter  William R.",239,13009
"Coughlin  Lawrence",240,12010
"Crane  Philip M.",249,12041
"Cronin  Paul W.",253,14012
"Culver  John C.",255,10715
"Daniel  Robert W.  Jr.",260,14013
"Daniel  W. C. (Dan)",261,12011
"Daniels  Dominick V.",262,2329
"Danielson  George E.",263,13010
"Davis  Glenn R.",269,2383
"Davis  John W.",271,10512
"Davis  Mendel J.",272,13048
"de la Garza  E.",276,10716
"de Lugo  Ron",275,NA
"Delaney  James J.",280,2476
"Dellenback  John",283,11011
"Dellums  Ronald V.",284,13011
"Denholm  Frank E.",286,13012
"Dennis  David W.",287,12012
"Dent  John H.",288,2513
"Derwinski  Edward J.",290,2525
"Devine  Samuel L.",292,2533
"Dickinson  William L.",296,10717
"Diggs  Charles C.  Jr.",298,2594
"Dingell  John D.",299,2605
"Donohue  Harold D.",305,2660
"Dorn  William Jennings Bryan",309,2672
"Downing  Thomas N.",315,2706
"Drinan  Robert F.",318,13013
"du Pont  Pierre S.  IV",319,13014
"Dulski  Thaddeus J.",320,2752
"Duncan  John J.",321,10719
"Eckhardt  Bob",333,11013
"Edwards  Don",336,10583
"Edwards  Jack",337,10721
"Eilberg  Joshua",341,11014
"Erlenborn  John N.",351,10722
"Esch  Marvin L.",353,11015
"Eshleman  Edwin D.",354,11016
"Evans  Frank E.",360,10723
"Evins  Joe L.",365,3034
"Fascell  Dante B.",370,3078
"Fauntroy  Walter E.",372,NA
"Findley  Paul",382,10517
"Fish  Hamilton  Jr.",384,12013
"Fisher  O. C.",386,3171
"Flood  Daniel J.",391,3224
"Flowers  Walter",393,12014
"Flynt  John J.  Jr.",394,3242
"Foley  Thomas S.",397,10726
"Ford  Gerald R.  Jr.",399,3268
"Ford  William D.",401,10727
"Forsythe  Edwin B.",402,12046
"Fountain  L. H.",403,3321
"Fraser  Donald M.",411,10585
"Frelinghuysen  Peter H. B.",413,3364
"Frenzel  Bill",415,13015
"Frey  Lou  Jr.",416,12015
"Froehlich  Harold V.",418,14014
"Fulton  Richard",420,10586
"Fuqua  Don",422,10587
"Gaydos  Joseph M.",430,11067
"Gettys  Tom S.",435,10728
"Giaimo  Robert N.",436,3553
"Gibbons  Sam",437,10588
"Gilman  Benjamin A.",440,14015
"Ginn  Bo",442,14016
"Goldwater  Barry  Jr.",444,12037
"Gonzalez  Henry B.",445,10520
"Goodling  William F.",447,10521
"Grasso  Ella T.",458,13016
"Gray  Kenneth J.",459,3769
"Green  Edith",461,3775
"Green  William J.",464,10591
"Griffiths  Martha W.",467,3830
"Gross  H. R.",469,3853
"Grover  James R.  Jr.",471,10592
"Gubser  Charles S.",473,3867
"Gude  Gilbert",474,11019
"Gunter  Bill",477,14017
"Guyer  Tennyson",480,14018
"Haley  James A.",482,3929
"Hamilton  Lee H.",489,10732
"Hammerschmidt  John P.",490,11020
"Hanley  James M.",493,10733
"Hanna  Richard T.",494,10594
"Hanrahan  Robert P.",496,14019
"Hansen  Julia Butler",499,4043
"Hansen  Orval",500,12016
"Harrington  Michael J.",503,12040
"Harsha  William H.",507,10525
"Harvey  James",509,10526
"Hastings  James F.",513,12017
"Hawkins  Augustus F.",515,10595
"Hays  Wayne L.",519,4247
"Hebert  F. Edward",521,4275
"Hechler  Ken",522,4276
"Heckler  Margaret M.",523,11021
"Heinz  John",528,13050
"Helstoski  Henry",529,10737
"Henderson  David N.",530,10527
"Hicks  Floyd V.",535,10738
"Hillis  Elwood H.",540,13018
"Hinshaw  Andrew J.",542,14020
"Hogan  Lawrence J.",548,12018
"Holifield  Chet",551,4514
"Holt  Marjorie S.",555,14021
"Holtzman  Elizabeth",556,14022
"Horton  Frank J.",560,10596
"Hosmer  Craig",561,4592
"Howard  James J.",564,10739
"Huber  Robert J.",568,14023
"Hudnut  William H.  3d",570,14024
"Hungate  William L.",573,10740
"Hunt  John E.",574,11022
"Hutchinson  Edward",576,10597
"Ichord  Richard H.",581,10528
"Jarman  John",591,4891
"Johnson  Albert W.",597,10598
"Johnson  Harold T.",600,4957
"Johnson  James P. (Jim)",601,14025
"Jones  Ed",608,12038
"Jones  James R.",609,14026
"Jones  Robert E.  Jr.",610,5058
"Jones  Walter B.",611,10788
"Jordan  Barbara",614,14027
"Karth  Joseph E.",617,5098
"Kastenmeier  Robert W.",620,5101
"Kazen  Abraham  Jr.",621,11023
"Keating  William J.",622,13019
"Kemp  Jack",625,13020
"Ketchum  William M.",629,14028
"King  Carleton J.",634,10530
"Kluczynski  John C.",640,5326
"Koch  Edward I.",643,12019
"Kuykendall  Dan H.",654,11025
"Kyros  Peter N.",656,11027
"Lagomarsino  Robert J.",658,14071
"Landgrebe  Earl F.",661,12020
"Landrum  Phil M.",662,5436
"Latta  Delbert L.",668,5495
"Leggett  Robert L.",678,10599
"Lehman  William",680,14029
"Lent  Norman F.",682,13021
"Litton  Jerry",695,14030
"Long  Clarence D.",703,10601
"Long  Gillis W.",704,10602
"Lott  Trent",707,14031
"Lujan  Manuel  Jr.",712,12022
"Luken  Thomas A.",713,14070
"Macdonald  Torbert H.",719,5873
"Madden  Ray J.",723,5900
"Madigan  Edward R.",724,14033
"Mahon  George H.",726,5924
"Mailliard  William S.",727,5929
"Mallary  Richard W.",728,13052
"Mann  James R.",731,12023
"Maraziti  Joseph J.",734,14034
"Martin  David T.",740,14035
"Martin  James G.",741,10534
"Mathias  Robert B. (Bob)",746,11031
"Mathis  Dawson",747,13023
"Matsunaga  Spark M.",749,10605
"Mayne  Wiley",752,11032
"Mazzoli  Romano L.",753,13024
"McClory  Robert",757,10606
"McCloskey  Paul N.  Jr.",759,11063
"McCollister  John Y.",760,13025
"McCormack  Mike",762,13026
"McDade  Joseph M.",765,10607
"McEwen  Robert C.",769,10749
"McFall  John J.",770,6240
"McKay  K. Gunn",777,13027
"McKinney  Stewart B.",781,13029
"McSpadden  Clem Rogers",786,14032
"Meeds  Lloyd",787,10756
"Melcher  John",790,12039
"Metcalfe  Ralph H.",793,13030
"Mezvinsky  Edward",796,14036
"Michel  Robert H.",801,6455
"Milford  Dale",804,14037
"Miller  Clarence E.",806,11034
"Mills  Wilbur D.",810,6532
"Mills  William O.",811,13049
"Minish  Joseph G.",814,10609
"Mink  Patsy T.",815,10757
"Minshall  William E.",816,6548
"Mitchell  Donald J.",817,14038
"Mitchell  Parren J.",818,13031
"Mizell  Wilmer",819,12026
"Moakley  John Joseph",820,14039
"Mollohan  Robert H.",825,6584
"Montgomery  G. V. (Sonny)",827,11035
"Moorhead  Carlos J.",830,14040
"Moorhead  William S.",831,6661
"Morgan  Thomas E.",834,6685
"Mosher  Charles A.",837,10539
"Moss  John E.",838,6756
"Murphy  John M.",842,10611
"Murphy  Morgan F.",843,13032
"Murtha  John P.",844,14072
"Myers  John T.",847,11036
"Natcher  William H.",853,6845
"Nedzi  Lucien N.",856,10540
"Nelsen  Ancher",858,6860
"Nichols  Bill",863,11037
"Nix  Robert N. C.",866,6936
"O'Brien  George M.",872,14041
"O'Hara  James G.",873,7043
"O'Neill  Thomas P.  Jr.",874,7081
"Obey  David R.",877,12036
"Owens  Wayne",884,14042
"Parris  Stanford E. (Stan)",890,14043
"Passman  Otto E.",892,7228
"Patman  Wright",895,7232
"Patten  Edward J.",896,10613
"Pepper  Claude",907,7333
"Perkins  Carl Dewey",908,7343
"Pettis  Jerry L.",913,11038
"Peyser  Peter A.",915,93033
"Pickle  J. J.",917,10614
"Pike  Otis G.",918,10545
"Poage  W. R.",919,7498
"Podell  Bertram L.",920,11064
"Powell  Walter E.",926,13034
"Preyer  Richardson",928,12027
"Price  Melvin",929,7610
"Price  Robert D.",931,11062
"Pritchard  Joel",932,14044
"Quie  Albert H.",936,7671
"Quillen  James H. (Jimmy)",937,10616
"Railsback  Thomas F.",941,11041
