"Addabbo  Joseph P.",6,10500,NA
"Akaka  Daniel K.",7,14400,NA
"Albosta  Donald J.",9,14600,NA
"Alexander  Bill",10,12000,NA
"Anderson  Glenn M.",16,12001,NA
"Andrews  Ike",18,14001,NA
"Annunzio  Frank",23,10703,NA
"Anthony  Beryl  Jr.",24,14601,NA
"Applegate  Douglas",25,14402,NA
"Archer  Bill",26,13002,NA
"Ashbrook  John M.",31,10502,NA
"Aspin  Les",33,13003,NA
"Atkinson  Eugene V.",35,94602,NA
"AuCoin  Les",36,14201,NA
"Badham  Robert E.",39,14403,NA
"Bafalis  L. A. (Skip)",42,14003,NA
"Bailey  Donald A.",43,14603,NA
"Bailey  Wendell",44,14800,NA
"Barnard  Doug  Jr.",54,14404,NA
"Barnes  Michael D.",55,14604,NA
"Beard  Robin",69,14004,NA
"Bedell  Berkley W.",71,14205,NA
"Beilenson  Anthony C.",72,14405,NA
"Benedict  Cleve",74,14801,NA
"Benjamin  Adam  Jr.",76,14406,NA
"Bennett  Charles E.",77,633,NA
"Bereuter  Doug",80,14605,NA
"Bethune  Ed",83,14606,NA
"Bevill  Tom",84,11000,NA
"Biaggi  Mario",85,12003,NA
"Bingham  Jonathan B.",90,10705,NA
"Blanchard  James",94,14206,NA
"Bliley  Tom",97,14802,NA
"Boggs  Corinne C. (Lindy)",103,14067,NA
"Boland  Edward P.",104,830,NA
"Bolling  Richard",105,835,NA
"Boner  William H.",106,14607,NA
"Bonior  David E.",108,14407,NA
"Bonker  Don",109,14208,NA
"Bowen  David R.",115,14005,NA
"Breaux  John B.",120,13056,NA
"Brinkley  Jack",124,11005,NA
"Brodhead  William",126,14209,NA
"Brooks  Jack B.",127,1077,NA
"Broomfield  William S.",128,1087,NA
"Brown  Clarence  Jr.",131,10786,NA
"Brown  George E.  Jr.",134,10573,NA
"Brown  Hank",135,14803,NA
"Broyhill  James T.",138,10574,NA
"Burgener  Clair W.",147,14007,NA
"Burton  John",155,14076,NA
"Burton  Phillip",156,10577,NA
"Butler  M. Caldwell",159,13055,NA
"Byron  Beverly B.",162,14608,NA
"Campbell  Carroll A.  Jr.",169,14609,NA
"Carman  Gregory W.",176,14804,NA
"Carney  William",178,14610,NA
"Chappell  Bill  Jr.",191,12007,NA
"Chappie  Eugene A.",192,14805,NA
"Cheney  Dick",193,14611,NA
"Chisholm  Shirley",195,12008,NA
"Clausen  Don H.",201,10579,NA
"Clay  William (Bill)",203,12009,NA
"Clinger  William F.  Jr.",207,14612,NA
"Coats  Daniel",209,14806,NA
"Coelho  Anthony Lee",214,14613,NA
"Coleman  E. Thomas",216,14410,NA
"Collins  Cardiss",220,14068,NA
"Collins  James M.",221,11066,NA
"Conable  Barber B.  Jr.",225,10712,NA
"Conte  Silvio O.",228,2009,NA
"Conyers  John  Jr.",229,10713,NA
"Corcoran  Tom",233,14411,NA
"Corrada  Baltasar",237,NA1,NA
"Cotter  William R.",239,13009,NA
"Coughlin  Lawrence",240,12010,NA
"Courter  Jim",241,14614,NA
"Coyne  James K.",244,14807,NA
"Coyne  William J.",245,14808,NA
"Craig  Larry E.",246,14809,NA
"Crane  Daniel B.",248,14615,NA
"Crane  Philip M.",249,12041,NA
"Crockett  George W.  Jr.",252,14681,NA
"D'Amours  Norman E.",259,14284,NA
"Daniel  Robert W.  Jr.",260,14013,NA
"Daniel  W. C. (Dan)",261,12011,NA
"Danielson  George E.",263,13010,NA
"Dannemeyer  William E.",264,14616,NA
"Daschle  Thomas A.",267,14617,NA
"Daub  Hal",268,14810,NA
"Davis  Robert W.",273,14618,NA
"de la Garza  E.",276,10716,NA
"de Lugo  Ron",275,NA2,NA
"Deckard  Joel",278,14619,NA
"Dellums  Ronald V.",284,13011,NA
"DeNardis  Lawrence J.",285,14811,NA
"Derrick  Butler C.",289,14212,NA
"Derwinski  Edward J.",290,2525,NA
"Dickinson  William L.",296,10717,NA
"Dicks  Norman D.",297,14413,NA
"Dingell  John D.",299,2605,NA
"Dixon  Julian C.",301,14620,NA
"Donnelly  Brian J.",304,14621,NA
"Dorgan  Byron L.",308,14812,NA
"Dornan  Robert K.",310,14414,NA
"Dougherty  Charles F.",311,14622,NA
"Dowdy  Wayne",313,14874,NA
"Downey  Thomas J.",314,14214,NA
"Dreier  David",317,14813,NA
"Duncan  John J.",321,10719,NA
