"Abercrombie  Neil",2,15245
"Ackerman  Gary L.",4,15000
"Aderholt  Robert B.",1460,29701
"Allen  Thomas H.",1461,29728
"Andrews  Robert E.",21,29132
"Archer  Bill",26,13002
"Armey  Richard K.",28,15125
"Bachus  Spencer",38,29301
"Baesler  Scotty",41,29353
"Baker  Richard H.",47,15401
"Baldacci  John Elias",48,29528
"Ballenger  Cass",50,15402
"Barcia  James A.",52,29363
"Barr  Bob",56,29511
"Barrett  Bill",57,29129
"Barrett  Thomas M.",58,39315
"Bartlett  Roscoe G.",60,29356
"Barton  Joe",62,15085
"Bass  Charles F.",63,29538
"Bateman  Herbert H.",64,15003
"Becerra  Xavier",70,29316
"Bentsen  Ken",79,29574
"Bereuter  Doug",80,14605
"Berman  Howard L.",82,15005
"Berry  Marion",1462,29702
"Bilbray  Brian P.",87,29508
"Bilirakis  Michael",89,15006
"Bishop  Sanford D.  Jr.",91,29339
"Blagojevich  Rod R.",1463,29716
"Bliley  Tom",97,14802
"Blumenauer  Earl",99,29588
"Blunt  Roy",1464,29735
"Boehlert  Sherwood",101,15007
"Boehner  John A.",102,29137
"Bonilla  Henry",107,39302
"Bonior  David E.",108,14407
"Bono  Mary",1465,29507
"Bono  Sonny",110,29775
"Borski  Robert A.",111,15008
"Boswell  Leonard L.",1466,29721
"Boucher  Rick",113,15010
"Boyd  Allen",1467,29713
"Brady  Kevin",1468,29760
"Brady  Robert",1469,29777
"Brown  Corrine",132,29328
"Brown  George E.  Jr.",134,10573
"Brown  Sherrod",136,29389
"Bryant  Ed",141,29569
"Bunning  Jim",146,15406
"Burr  Richard",153,29548
"Burton  Dan",154,15014
"Buyer  Stephen E.",160,29350
"Callahan  Sonny",164,15090
"Calvert  Ken",165,29323
"Camp  Dave",166,29124
"Campbell  Tom",170,15600
"Canady  Charles T.",171,29332
"Cannon  Chris",1470,29766
"Capps  Lois",1471,29774
"Capps  Walter",1472,29706
"Cardin  Benjamin L.",174,15408
"Carson  Julia",1473,29720
"Castle  Michael N.",183,29327
"Chabot  Steve",186,29550
"Chambliss  Saxby",188,29512
"Chenoweth  Helen",194,29514
"Christensen  Jon",196,29536
"Christian-Green  Donna M.",1474,NA1
"Clay  William (Bill)",203,12009
"Clayton  Eva M.",204,29382
"Clement  Bob",205,15450
"Clyburn  James E.",208,39301
"Coble  Howard",211,15092
"Coburn  Tom A.",212,29555
"Collins  Mac",222,29340
"Combest  Larry",224,15093
"Condit  Gary A.",226,15635
"Conyers  John  Jr.",229,10713
"Cook  Merrill",1475,29765
"Cooksey  John",1476,29726
"Costello  Jerry F.",238,15453
"Cox  Christopher",242,15601
"Coyne  William J.",245,14808
"Cramer  Robert E. (Bud)  Jr.",247,29100
"Crane  Philip M.",249,12041
"Crapo  Mike",250,29345
"Cubin  Barbara",254,29584
"Cummings  Elijah E.",256,29587
"Cunningham  Randy (Duke)",258,29107
"Danner  Pat",265,29370
"Davis  Danny K.",1477,29717
"Davis  Jim",1478,29714
"Davis  Thomas M.",274,29576
"Deal  Nathan",277,99342
"DeFazio  Peter A.",279,15410
"DeGette  Diana",1479,29710
"Delahunt  William D.",1480,29731
"DeLauro  Rosa L.",281,29109
"DeLay  Tom",282,15094
"Dellums  Ronald V.",284,13011
"Deutsch  Peter",291,29335
"Diaz-Balart  Lincoln",294,29336
"Dickey  Jay",295,29307
"Dicks  Norman D.",297,14413
"Dingell  John D.",299,2605
"Dixon  Julian C.",301,14620
"Doggett  Lloyd",303,29571
"Dooley  Calvin M.",306,29105
"Doolittle  John T.",307,29104
"Doyle  Michael F.",316,29561
"Dreier  David",317,14813
"Duncan  John J.  Jr.",322,15455
"Dunn  Jennifer",324,39312
"Edwards  Chet",335,29144
"Ehlers  Vernon J.",339,29362
"Ehrlich  Robert L.  Jr.",340,29529
"Emerson  Jo Ann",1481,29736
"Engel  Eliot L.",344,15603
"English  Phil",347,29563
"Ensign  John",348,29537
"Eshoo  Anna G.",355,29312
"Etheridge  Bob",1482,29745
"Evans  Lane",361,15023
"Everett  Terry",364,29300
"Ewing  Thomas W.",366,29115
"Faleomavaega  Eni F.H.",367,NA2
"Farr  Sam",368,29313
"Fattah  Chaka",371,29559
"Fawell  Harris W.",373,15098
"Fazio  Vic",374,14624
"Filner  Bob",381,29325
"Flake  Floyd H.",388,15412
"Foglietta  Thomas M.",395,14823
"Foley  Mark",396,29510
"Forbes  Michael P.",398,29542
"Ford  Harold E.  Jr.",1483,29756
"Fossella  Vito",1484,29773
"Fowler  Tillie",404,29329
"Fox  Jon D.",406,29560
"Frank  Barney",407,14824
"Franks  Bob",409,29371
"Frelinghuysen  Rodney P.",414,29541
"Frost  Martin",419,14626
"Furse  Elizabeth",423,29394
"Gallegly  Elton",425,15413
"Ganske  Greg",428,29521
"Gejdenson  Sam",431,14825
"Gekas  George W.",432,15026
"Gephardt  Richard A.",433,14421
"Gibbons  Jim",1485,29739
"Gilchrest  Wayne T.",438,29122
"Gillmor  Paul E.",439,15604
"Gilman  Benjamin A.",440,14015
"Gingrich  Newt",441,14627
"Gonzalez  Henry B.",445,10520
"Goode  Virgil H.  Jr.",1486,29767
"Goodlatte  Bob",446,39308
"Goodling  William F.",447,14288
"Gordon  Bart",448,15100
"Goss  Porter J.",450,15605
"Graham  Lindsey",452,29566
"Granger  Kay",1487,29762
"Green  Gene",462,39304
"Greenwood  James C.",465,29397
"Gutierrez  Luis V.",478,29348
"Gutknecht  Gil",479,29532
"Hall  Ralph M.",484,14828
"Hall  Tony P.",487,14632
"Hamilton  Lee H.",489,10732
"Hansen  James V.",498,14829
"Harman  Jane",502,29318
"Hastert  J. Dennis",510,15417
"Hastings  Alcee L.",511,29337
"Hastings  Doc",512,29580
"Hayworth  J. D.",520,29502
"Hefley  Joel",524,15419
"Hefner  W. G. (Bill)",525,14233
"Herger  Wally",533,15420
"Hill  Rick",1489,29738
"Hilleary  Van",538,29568
